T7,P7,O1,O2,P8
4107.820513,4118.589743,4107.435897,4116.282051,4110.384615
4092.179487,4093.461538,4081.025641,4101.538461,4100.51282
4091.410256,4092.435897,4081.666666,4107.179487,4105.25641
4113.974359,4126.410256,4115,4124.871795,4115
4123.589743,4136.538461,4126.025641,4128.333333,4114.871795
4110.897436,4115.769231,4114.358974,4122.820513,4110
4101.923077,4108.076923,4111.410256,4123.589743,4106.923077
4101.538461,4117.051282,4117.435897,4133.333333,4109.358974
4106.025641,4119.230769,4124.102564,4138.076923,4112.307692
4116.923077,4120.128205,4128.076923,4134.487179,4110.897436
4118.717948,4126.538461,4125.51282,4134.358974,4108.717948
4102.692307,4118.717948,4113.461538,4125.128205,4102.564102
4098.717948,4110.897436,4109.487179,4117.307692,4099.102564
4116.666666,4122.948718,4117.179487,4130.128205,4110.769231
4114.743589,4118.461538,4106.794872,4127.179487,4112.564102
4102.179487,4105.384615,4090.76923,4105.641025,4097.820512
4116.538461,4118.846154,4105.384615,4112.692307,4103.333333
4131.666666,4128.589743,4119.871795,4135.25641,4125.769231
4123.461538,4116.282051,4108.974359,4129.743589,4124.487179
4115.51282,4111.025641,4102.564102,4115.25641,4105.384615
4117.179487,4120.641025,4115.384615,4120.384615,4100.897436
4110.384615,4120.25641,4120,4124.358974,4107.435897
4103.974359,4113.333333,4113.974359,4126.410256,4110
4107.564102,4115,4118.974359,4138.846154,4110.25641
4107.051282,4120.641025,4126.153846,4140.128205,4108.589743
4108.076923,4126.282051,4128.589743,4134.615384,4110
4118.717948,4132.051282,4136.153846,4143.974359,4119.102564
4120.128205,4130.641025,4131.538461,4142.051282,4117.820513
4114.615384,4124.871795,4121.025641,4131.153846,4110.51282
4131.025641,4132.179487,4133.717948,4145.641025,4121.282051
4139.230769,4136.410256,4136.666666,4145.128205,4123.461538
4120.769231,4126.282051,4116.794872,4123.076923,4108.333333
4118.076923,4126.410256,4117.820513,4121.923077,4104.615384
4130.384615,4136.666666,4130.641025,4126.025641,4107.820513
4126.025641,4134.230769,4120.51282,4118.461538,4103.205128
4110.641025,4118.461538,4101.538461,4109.358974,4094.358974
4107.307692,4111.153846,4094.102564,4105.51282,4090.128205
4115.25641,4118.974359,4102.948718,4116.025641,4102.820513
4120.25641,4120.897436,4114.615384,4128.461538,4114.615384
4115.384615,4109.102564,4107.564102,4120.769231,4104.102564
4106.538461,4107.564102,4098.333333,4111.153846,4094.102564
4102.307692,4112.820513,4098.333333,4109.743589,4094.358974
4102.179487,4106.794872,4092.051282,4103.205128,4093.076923
4103.333333,4101.666666,4083.589743,4096.666666,4089.615384
4099.743589,4102.948718,4083.974359,4093.333333,4082.051282
4099.102564,4103.461538,4088.974359,4094.358974,4080.384615
4113.205128,4115.128205,4102.692307,4109.743589,4098.205128
4121.538461,4133.717948,4125.384615,4129.487179,4114.487179
4107.564102,4131.538461,4131.794872,4138.461538,4112.179487
4095,4117.179487,4118.076923,4135.897436,4106.794872
4097.820512,4122.051282,4119.487179,4134.615384,4109.230769
4103.717948,4130.51282,4131.410256,4141.538461,4115
4108.461538,4123.333333,4126.153846,4139.230769,4111.538461
4111.282051,4124.615384,4122.051282,4134.102564,4107.948718
4102.820513,4125.641025,4118.846154,4129.487179,4110
4102.948718,4116.666666,4111.153846,4124.358974,4107.820513
4122.179487,4127.948718,4127.820513,4134.871795,4111.538461
4126.410256,4140.641025,4144.230769,4153.974359,4128.974359
4106.025641,4123.846154,4125.25641,4144.102564,4127.435897
4099.230769,4115.128205,4113.846154,4126.538461,4110.25641
4109.102564,4128.974359,4127.051282,4136.153846,4110.769231
4108.205128,4130.51282,4129.102564,4143.974359,4120.128205
4106.666666,4127.051282,4126.538461,4139.615384,4118.589743
4118.333333,4138.461538,4135.384615,4143.461538,4116.025641
4122.948718,4141.666666,4133.974359,4146.538461,4120
4112.564102,4128.974359,4122.692307,4135.897436,4116.153846
4114.230769,4128.461538,4126.923077,4138.717949,4115.641025
4131.923077,4138.076923,4138.076923,4153.974359,4126.538461
4138.589743,4142.564102,4142.692307,4155.128205,4126.666666
4129.358974,4139.615384,4141.923077,4153.076923,4119.230769
4123.461538,4132.820513,4137.564102,4154.74359,4119.871795
4120.51282,4125.25641,4130.384615,4149.74359,4121.538461
4115.51282,4124.871795,4130.641025,4146.025641,4117.051282
4116.025641,4135.641025,4143.205128,4152.564102,4116.282051
4115.769231,4139.358974,4150.769231,4156.025641,4117.307692
4111.153846,4131.666666,4144.358974,4151.282051,4114.358974
4103.974359,4121.282051,4128.974359,4141.666666,4106.410256
4101.153846,4126.282051,4135.25641,4145.128205,4106.538461
4106.410256,4143.589743,4158.717949,4166.538461,4125
4113.333333,4146.025641,4157.692307,4171.794872,4131.153846
4115.25641,4135,4135.897436,4151.538461,4116.410256
4116.923077,4135.25641,4134.487179,4148.333333,4118.846154
4121.410256,4143.717949,4146.923077,4161.025641,4127.820513
4118.076923,4137.179487,4137.948718,4155.769231,4124.230769
4118.717948,4129.615384,4127.564102,4146.923077,4124.487179
4127.692307,4135.25641,4132.435897,4143.589743,4125.51282
4115.51282,4125.25641,4114.615384,4125.641025,4110.769231
4096.025641,4108.846154,4096.666666,4112.948718,4104.358974
4098.076923,4118.846154,4118.461538,4128.974359,4116.282051
4097.692307,4120.769231,4120.51282,4127.179487,4109.743589
4087.435897,4104.871795,4098.461538,4111.794872,4100.76923
4081.153846,4101.923077,4103.205128,4118.461538,4109.487179
4075.641025,4105.641025,4108.589743,4121.410256,4107.307692
4073.846154,4098.974359,4094.230769,4111.923077,4097.179487
4072.051282,4090.128205,4089.743589,4109.615384,4101.410256
4076.282051,4101.923077,4108.974359,4125.51282,4119.358974
4089.487179,4115.25641,4117.948718,4139.615384,4132.307692
4086.025641,4103.717948,4103.333333,4131.538461,4130.769231
4058.076923,4082.051282,4082.564102,4104.358974,4112.307692
4046.666666,4079.358974,4079.487179,4094.358974,4103.846154
4057.307692,4086.282051,4087.948718,4110.51282,4117.435897
4054.743589,4085.51282,4091.153846,4116.025641,4119.871795
4044.487179,4087.435897,4096.025641,4110.384615,4109.358974
4035,4077.564102,4083.461538,4102.692307,4103.076923
4025.384615,4066.025641,4070.25641,4104.487179,4103.717948
4019.615384,4067.948718,4072.564102,4107.435897,4099.615384
4017.948717,4069.358974,4071.025641,4096.794871,4083.333333
4028.974358,4078.974359,4082.179487,4101.794871,4082.435897
4040.76923,4088.333333,4094.230769,4111.666666,4092.692307
4040.384615,4085.25641,4085.897436,4101.538461,4086.410256
4032.692307,4072.051282,4063.974359,4088.846154,4076.923077
4027.051282,4059.358974,4050.384615,4083.974359,4078.461538
4032.692307,4064.743589,4059.102564,4084.743589,4081.666666
4044.615384,4073.076923,4067.820512,4089.230769,4085.76923
4044.230769,4069.615384,4063.589743,4091.794871,4092.179487
4028.846153,4064.487179,4061.282051,4091.538461,4091.282051
4014.487179,4057.564102,4056.666666,4087.435897,4085.76923
4003.974358,4046.666666,4044.743589,4077.564102,4081.666666
3995.384615,4044.102564,4047.692307,4073.846154,4080
3985.76923,4040.51282,4047.179487,4069.230769,4072.435897
3979.743589,4035.384615,4039.102564,4068.076923,4067.692307
3982.948717,4043.461538,4046.538461,4073.589743,4070.51282
3982.692307,4045.641025,4047.692307,4064.871794,4062.820512
3974.999999,4032.179487,4031.025641,4048.846153,4047.179487
