AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4100.25641,4097.820512,3948.461538,4162.692307,4107.820513,4118.589743,4107.435897,4116.282051,4110.384615,4123.333333,4122.435897,4117.307692,4120.128205,4129.615384
4090,4089.487179,3940.128205,4148.076923,4092.179487,4093.461538,4081.025641,4101.538461,4100.51282,4115.769231,4122.564102,4112.307692,4114.615384,4127.179487
4088.205128,4093.846154,3940.25641,4138.076923,4091.410256,4092.435897,4081.666666,4107.179487,4105.25641,4114.230769,4119.615384,4109.230769,4114.615384,4131.666666
4106.025641,4107.051282,3953.076922,4141.153846,4113.974359,4126.410256,4115,4124.871795,4115,4127.307692,4120.897436,4117.435897,4124.871795,4131.923077
4119.743589,4115.25641,3964.871794,4138.846154,4123.589743,4136.538461,4126.025641,4128.333333,4114.871795,4133.974359,4130.384615,4124.871795,4127.435897,4125.384615
4116.410256,4114.743589,3973.461538,4126.025641,4110.897436,4115.769231,4114.358974,4122.820513,4110,4129.102564,4136.282051,4127.179487,4124.487179,4126.923077
4113.076923,4104.615384,3976.794871,4116.153846,4101.923077,4108.076923,4111.410256,4123.589743,4106.923077,4123.076923,4128.333333,4130.25641,4125.128205,4127.307692
4117.820513,4096.282051,3974.871794,4110.25641,4101.538461,4117.051282,4117.435897,4133.333333,4109.358974,4122.307692,4120.641025,4130.384615,4125.769231,4127.051282
4124.487179,4106.538461,3980.641025,4111.923077,4106.025641,4119.230769,4124.102564,4138.076923,4112.307692,4123.205128,4131.410256,4131.923077,4127.051282,4127.692307
4136.923077,4126.666666,3998.717948,4125,4116.923077,4120.128205,4128.076923,4134.487179,4110.897436,4125.897436,4152.051282,4143.076923,4137.948718,4127.179487
4144.615384,4131.538461,4006.025641,4126.923077,4118.717948,4126.538461,4125.51282,4134.358974,4108.717948,4127.435897,4154.358974,4148.589743,4143.717949,4125.897436
4127.692307,4115.641025,3987.179487,4109.358974,4102.692307,4118.717948,4113.461538,4125.128205,4102.564102,4117.564102,4136.666666,4128.076923,4127.435897,4124.743589
4114.487179,4111.538461,3975.25641,4106.794872,4098.717948,4110.897436,4109.487179,4117.307692,4099.102564,4113.205128,4131.794872,4112.820513,4120.384615,4126.666666
4127.692307,4130.128205,3990.128205,4121.666666,4116.666666,4122.948718,4117.179487,4130.128205,4110.769231,4133.333333,4147.692307,4128.846154,4137.051282,4126.153846
